user_id,course_id,update_time,collect_status,commit_status,duration,click_times,score
13031500000000.0,154522000000000.0,12/2/2020 02:11:01,NO,NO,164,2,67
8396250000000.0,1395120000000000.0,16/9/2019 23:16:11,NO,NO,157,2,100
2594930000000.0,45153600000000.0,30/10/2019 12:58:11,NO,NO,1265,4,0
14365300000000.0,1718500000000000.0,25/6/2019 01:25:42,NO,NO,207,3,100
6666900000000.0,1493360000000000.0,27/2/2019 09:50:17,NO,NO,158,2,67
1570220000000.0,1468840000000000.0,2/6/2019 10:46:36,NO,NO,281,2,100
7702250000000.0,172695000000000.0,25/3/2020 14:31:46,NO,NO,24,1,0
17753300000000.0,283633000000000.0,8/4/2019 11:28:40,NO,NO,2450,1,0
15694000000000.0,1129800000000000.0,2/7/2018 14:09:25,NO,NO,460,2,100
2552200000000.0,1337480000000000.0,16/3/2018 14:16:20,NO,NO,444,2,67
13024200000000.0,1902200000000000.0,9/11/2019 01:54:26,NO,NO,1099,2,60
8712620000000.0,1790370000000000.0,24/10/2018 06:32:14,NO,NO,310,2,100
12566300000000.0,1774750000000000.0,18/9/2020 11:46:56,NO,NO,545,8,0
2042110000000.0,1.28721e+18,20/10/2020 01:12:13,NO,NO,720,2,0
5382950000000.0,1172330000000000.0,18/8/2020 06:18:40,NO,NO,195,3,100
3530030000000.0,1.17389e+18,20/9/2019 10:52:21,NO,NO,1270,5,60
11059600000000.0,369191000000000.0,3/12/2019 08:30:08,NO,NO,870,1,0
2788330000000.0,1697010000000000.0,20/10/2018 05:58:18,NO,NO,303,2,100
14973000000000.0,1570970000000000.0,16/2/2019 06:47:36,NO,NO,281,3,100
20329400000000.0,1.29412e+18,24/8/2020 04:40:09,NO,NO,555,2,100
5396060000000.0,1229140000000000.0,19/2/2020 11:55:00,NO,NO,69,2,100
10754600000000.0,116162000000000.0,30/9/2020 08:46:28,NO,NO,335,2,60
19509200000000.0,1.28437e+18,4/9/2020 21:58:37,NO,NO,3155,3,0
15851700000000.0,1952030000000000.0,28/4/2020 11:08:14,NO,NO,230,2,100
5803990000000.0,1.2826e+18,25/9/2020 12:38:22,NO,NO,285,3,0
16692400000000.0,1819150000000000.0,11/5/2020 11:20:57,NO,NO,978,7,100
4910540000000.0,1.2836e+18,15/10/2020 03:47:44,NO,NO,775,1,0
20373600000000.0,1657280000000000.0,21/6/2019 01:11:35,NO,NO,1046,2,100
14448000000000.0,1922620000000000.0,30/11/2019 10:10:46,NO,NO,29,2,70
13972300000000.0,1.27573e+18,4/7/2020 12:27:24,YES,YES,595,3,40
5073480000000.0,1.32599e+18,11/11/2020 04:57:03,NO,NO,445,2,80
11621000000000.0,1651530000000000.0,24/10/2018 09:44:06,NO,NO,292,3,100
8033930000000.0,1.18467e+18,3/9/2020 09:25:08,NO,YES,4525,3,0
1813750000000.0,1760610000000000.0,31/8/2018 12:08:31,NO,NO,109,2,100
5552340000000.0,1634920000000000.0,16/2/2020 13:05:50,NO,NO,485,5,100
3195220000000.0,1891330000000000.0,16/8/2018 00:52:54,NO,NO,468,4,100
13830100000000.0,1977610000000000.0,28/9/2018 01:06:33,NO,NO,380,2,100
17466700000000.0,188579000000000.0,2/11/2018 07:02:53,NO,NO,66,1,0
11621000000000.0,1.28838e+18,20/8/2020 07:55:40,NO,NO,175,2,100
5073480000000.0,1185090000000000.0,12/6/2019 08:22:46,NO,NO,558,0,0
20313100000000.0,1.29384e+18,25/8/2020 07:06:40,NO,YES,1710,4,60
11059600000000.0,238535000000000.0,5/12/2019 08:15:15,NO,NO,1270,1,0
5546720000000.0,607305000000000.0,7/11/2019 07:51:51,NO,NO,1368,2,0
16936000000000.0,1856090000000000.0,27/12/2019 00:37:48,NO,NO,19,2,100
12323100000000.0,1494940000000000.0,19/6/2020 08:31:35,NO,NO,255,4,30
16522900000000.0,17479700000000.0,28/2/2019 14:24:37,NO,NO,152,3,67
10364300000000.0,1.27572e+18,28/6/2020 11:46:12,NO,NO,870,2,0
15660500000000.0,1153650000000000.0,21/9/2019 01:16:10,NO,NO,27,4,100
18191200000000.0,1.32321e+18,7/11/2020 07:58:35,NO,NO,2875,8,70
20223900000000.0,1.28721e+18,13/10/2020 01:07:36,NO,NO,845,1,0
7533880000000.0,71826300000000.0,24/12/2019 04:51:33,NO,NO,685,1,0
4455430000000.0,1.25566e+18,7/5/2020 02:30:15,YES,YES,885,4,40
15518600000000.0,1343470000000000.0,13/2/2020 04:57:59,NO,NO,39,2,100
6666900000000.0,1379620000000000.0,7/3/2019 23:38:00,NO,NO,640,2,100
3368310000000.0,1853640000000000.0,25/2/2020 10:34:23,NO,NO,48,3,100
2552200000000.0,1760890000000000.0,31/8/2020 14:27:59,NO,NO,335,3,100
17997800000000.0,1616360000000000.0,14/11/2018 01:32:43,NO,NO,1215,4,80
2594930000000.0,1.29055e+18,14/10/2020 22:35:35,NO,NO,560,1,0
4741680000000.0,1806250000000000.0,8/8/2018 00:06:41,NO,NO,418,3,100
16468600000000.0,1539370000000000.0,15/3/2019 13:41:23,NO,NO,428,3,100
15660500000000.0,1320130000000000.0,19/6/2018 10:27:38,NO,NO,82,3,67
5590970000000.0,1774110000000000.0,30/5/2020 12:09:28,NO,NO,500,2,100
5694770000000.0,1570940000000000.0,18/2/2020 02:37:26,NO,NO,41,2,100
7702250000000.0,1972050000000000.0,4/11/2019 13:13:08,NO,NO,33,2,60
9409760000000.0,387447000000000.0,15/1/2020 05:18:41,NO,NO,5850,3,0
9497790000000.0,1439780000000000.0,9/2/2020 05:09:36,NO,NO,49,3,100
3062300000000.0,1695340000000000.0,14/9/2018 08:52:08,NO,NO,280,3,100
9915820000000.0,808108000000000.0,6/12/2018 04:18:22,NO,NO,1380,2,0
17466700000000.0,140842000000000.0,25/12/2019 11:25:30,NO,NO,2420,3,0
16403100000000.0,1970650000000000.0,10/6/2018 12:43:47,NO,NO,328,3,67
6666900000000.0,1539070000000000.0,20/2/2019 09:12:57,NO,NO,344,3,67
10890400000000.0,1923560000000000.0,26/6/2020 00:51:27,NO,NO,195,3,0
6666900000000.0,1823650000000000.0,27/2/2019 08:47:05,NO,NO,238,3,100
14365300000000.0,1363180000000000.0,6/5/2019 08:15:56,NO,NO,1273,2,100
2828970000000.0,1494470000000000.0,25/12/2019 10:00:35,NO,NO,19,3,100
15714400000000.0,1658110000000000.0,13/2/2020 06:04:20,NO,NO,63,3,100
19204500000000.0,1546340000000000.0,3/9/2020 14:26:57,NO,NO,735,3,100
20329400000000.0,1861540000000000.0,5/2/2020 08:11:47,NO,NO,966,2,100
18221100000000.0,1790320000000000.0,27/9/2018 03:19:43,NO,NO,1906,10,0
3455180000000.0,1.29302e+18,22/8/2020 07:33:22,NO,NO,2108,3,0
20730400000000.0,122110000000000.0,24/9/2019 07:54:47,NO,NO,359,2,100
20404100000000.0,1706910000000000.0,23/9/2019 12:59:29,NO,NO,22,3,100
2594930000000.0,157564000000000.0,29/10/2019 12:31:52,NO,NO,2873,2,0
1676200000000.0,1539370000000000.0,16/3/2019 02:41:25,NO,NO,424,2,100
6402970000000.0,1692540000000000.0,25/2/2020 08:29:04,NO,NO,23,2,100
5131000000000.0,985614000000000.0,9/5/2017 10:39:04,NO,NO,0,1,0
20643300000000.0,1113010000000000.0,16/12/2019 06:58:01,NO,NO,280,2,100
19911300000000.0,1495030000000000.0,25/8/2018 08:33:24,NO,NO,339,0,0
9798090000000.0,154771000000000.0,14/3/2018 22:49:42,NO,NO,221,2,100
2594930000000.0,395117000000000.0,21/10/2019 02:11:20,NO,NO,995,3,0
6666900000000.0,1500350000000000.0,25/9/2019 10:40:39,NO,NO,499,2,100
5431800000000.0,1.2663e+18,3/6/2020 03:32:32,NO,NO,550,5,80
